alias_map_id,alias,alias_key,disease_key,disease_id,type,source_id,source_name,source_url,source_batch_id,retrieved_at,confidence,created_at
9ec91f29-e03f-502f-9c1f-dc5a2d6d52ae,type 2 diabetes mellitus,type_2_diabetes_mellitus,type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,primary,D001,curated_disease_seed,https://disease-ontology.org/?id=DOID:9352,D001,2026-06-02T16:39:43+00:00,0.9,2026-06-02T16:39:43+00:00
a6ae817c-2c5f-5f10-9fab-bea036424913,insulin resistance,insulin_resistance,type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,ontology_synonym,D001,curated_disease_seed,https://disease-ontology.org/?id=DOID:9352,D001,2026-06-02T16:39:43+00:00,0.9,2026-06-02T16:39:43+00:00
7d6e5c1b-0171-530f-bd74-86004b0fe132,niddm,niddm,type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,ontology_synonym,D001,curated_disease_seed,https://disease-ontology.org/?id=DOID:9352,D001,2026-06-02T16:39:43+00:00,0.9,2026-06-02T16:39:43+00:00
29bc6865-ad17-535b-a4f1-caea34ba9cfc,non-insulin-dependent diabetes mellitus,non_insulin_dependent_diabetes_mellitus,type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,ontology_synonym,D001,curated_disease_seed,https://disease-ontology.org/?id=DOID:9352,D001,2026-06-02T16:39:43+00:00,0.9,2026-06-02T16:39:43+00:00
013e4ac8-8d50-58fe-9a70-8e7accaf724a,type 2 diabetes,type_2_diabetes,type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,ontology_synonym,D001,curated_disease_seed,https://disease-ontology.org/?id=DOID:9352,D001,2026-06-02T16:39:43+00:00,0.9,2026-06-02T16:39:43+00:00
1aa2f72d-4360-5b90-b0e4-ff9d6e8938ee,type ii diabetes mellitus,type_ii_diabetes_mellitus,type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,ontology_synonym,D001,curated_disease_seed,https://disease-ontology.org/?id=DOID:9352,D001,2026-06-02T16:39:43+00:00,0.9,2026-06-02T16:39:43+00:00
c812c1b0-ee79-54fd-9cf1-56c17d7a90ab,t2dm,t2dm,type_2_diabetes_mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,user_alias,D001,curated_disease_seed,https://disease-ontology.org/?id=DOID:9352,D001,2026-06-02T16:39:43+00:00,0.9,2026-06-02T16:39:43+00:00
0b65e3c2-59dd-5276-992f-c8d2b071f289,hypertension,hypertension,hypertension,bdbf1095-0cdc-5827-9694-2488d840a243,primary,D002,curated_disease_seed,https://disease-ontology.org/?id=DOID:10763,D001,2026-06-02T16:39:43+00:00,0.9,2026-06-02T16:39:43+00:00
1ac2b4e9-77bc-5caa-9889-e601b6550387,htn,htn,hypertension,bdbf1095-0cdc-5827-9694-2488d840a243,ontology_synonym,D002,curated_disease_seed,https://disease-ontology.org/?id=DOID:10763,D001,2026-06-02T16:39:43+00:00,0.9,2026-06-02T16:39:43+00:00
523def47-edea-514a-8d2e-4f318cfd8704,hyperpiesia,hyperpiesia,hypertension,bdbf1095-0cdc-5827-9694-2488d840a243,ontology_synonym,D002,curated_disease_seed,https://disease-ontology.org/?id=DOID:10763,D001,2026-06-02T16:39:43+00:00,0.9,2026-06-02T16:39:43+00:00
